Category,Clue,Correct Response,Answered Correctly,Triple Stumper,All Wrong Answers,Clue Value,Daily Double,Selection Order,Episode,Date First Aired,Round
Pop Culture Bookshelf,"Appearing in mask & with sword on the cover of ""As You Wish"", this British actor gives insight on the making of ""The Princess Bride""",Cary Elwes,Ken Jennings,False,False,1600,False,12,The Greatest of All Time game #1,"Tuesday, January 7, 2020",Double Jeopardy! Round
"Before, During & After","Tootie, Blair, Jo & Natalie show up in the third ""Hitchhiker's Guide"" book with boiled & baked Jewish rolls with all the fixins","The Facts of Life, the Universe and Everything bagel",Brad Rutter,False,False,1600,False,5,The Greatest of All Time game #1,"Tuesday, January 7, 2020",Double Jeopardy! Round
Chemists,"(Bryan Cranston delivers the clue.)  The Russian Academy of Sciences rejected this great man's 1880 nomination for membership--maybe because of his progressive political leanings, & maybe because he proposed to a much younger woman while he was still married to his first wife",Mendeleev,Ken Jennings,False,False,1600,False,18,The Greatest of All Time game #1,"Tuesday, January 7, 2020",Double Jeopardy! Round
Dancing With The Czars,This 1831 work by Pushkin dramatized the fate of the title czar whose reign ended in 1605,Boris Godunov,James Holzhauer,False,False,2000,False,2,The Greatest of All Time game #1,"Tuesday, January 7, 2020",Double Jeopardy! Round
David Muir Covers The World,(David Muir delivers the clue.)  In 2019 I reported on the hunt for ISIS fighters in the desert of this westernmost province of Iraq on the border with Syria,Anbar Province,Brad Rutter,False,False,2000,False,7,The Greatest of All Time game #1,"Tuesday, January 7, 2020",Double Jeopardy! Round
"The ""Sat""S",Zen Buddhists hope to reach this state of sudden enlightenment,satori,Ken Jennings,False,False,2000,False,9,The Greatest of All Time game #1,"Tuesday, January 7, 2020",Double Jeopardy! Round
Pop Culture Bookshelf,"In ""You're Never Weird on the Internet (Almost)"", this ""queen of the geeks"" tells of her rise to stardom",Felicia Day,Ken Jennings,False,False,2000,False,11,The Greatest of All Time game #1,"Tuesday, January 7, 2020",Double Jeopardy! Round
"Before, During & After","Elizabeth Barrett Browning's poems to an ""Iberian"" jellyfish relative, now heroic in Don Cheadle's supersuit",Sonnets from the Portuguese man o\' War Machine,James Holzhauer,False,False,2000,False,6,The Greatest of All Time game #1,"Tuesday, January 7, 2020",Double Jeopardy! Round
Chemists,"(Bryan Cranston delivers the clue.)  Real-life scientists whose names came up on ""Breaking Bad"" included, of course, Heisenberg, & also this Frenchman guillotined at age 50 after making chemistry a modern science",Lavoisier,Brad Rutter,False,False,2000,False,20,The Greatest of All Time game #1,"Tuesday, January 7, 2020",Double Jeopardy! Round
American Idols,"(Lionel Richie delivers the clue.)  In 2012 I had the honor of singing for my idol, Muhammad Ali, at a benefit for his center that fights this disease--we helped raise $9.1 million that night",Parkinson\'s,James Holzhauer,False,False,200,False,28,The Greatest of All Time game #2,"Tuesday, January 7, 2020",Jeopardy! Round
Toy Story,"In 1939 Sawyer's Inc. introduced this, a slide stereoscope",the View-Master,Ken Jennings,False,False,200,False,26,The Greatest of All Time game #2,"Tuesday, January 7, 2020",Jeopardy! Round
Geo-Verse,"""U"" is this nation, ""The"" is not required; Kuchma was leader, but he's long retired",Ukraine,Brad Rutter,False,False,200,False,29,The Greatest of All Time game #2,"Tuesday, January 7, 2020",Jeopardy! Round
Not An Armchair Expert,"(Dax Shepard delivers the clue.)  Paleontologist Roy Chapman Andrews, who may have inspired the character of Indiana Jones, discovered the first of these objects that never got to hatch",a dinosaur egg,James Holzhauer,False,False,200,False,30,The Greatest of All Time game #2,"Tuesday, January 7, 2020",Jeopardy! Round
Triple Rhyme Time,Sacred place for your most exceptional bottle of Bordeaux,a fine wine shrine,Ken Jennings,False,False,200,False,23,The Greatest of All Time game #2,"Tuesday, January 7, 2020",Jeopardy! Round
Greatest Of All Time Travelers,"In Stephen King's ""11/22/63"", Jake Epping travels back in time to prevent this event from ever happening",the Kennedy assassination,James Holzhauer,False,False,200,False,22,The Greatest of All Time game #2,"Tuesday, January 7, 2020",Jeopardy! Round
American Idols,"(Katy Perry delivers the clue.)  I will always love this country star, & in 2016 I got to present her with the Tex Ritter Film Award for her ""Coat of Many Colors"" TV movie",Dolly Parton,Ken Jennings,False,False,400,False,27,The Greatest of All Time game #2,"Tuesday, January 7, 2020",Jeopardy! Round
Toy Story,"The Christmas fad of 1983 was this doll, featured on the cover of Newsweek in December of that year",the Cabbage Patch doll,James Holzhauer,False,False,400,False,25,The Greatest of All Time game #2,"Tuesday, January 7, 2020",Jeopardy! Round
Geo-Verse,"""M"" is this mountain on Switzerland's fence; Walt Disney built one, but not as immense",the Matterhorn,Ken Jennings,False,False,400,False,19,The Greatest of All Time game #2,"Tuesday, January 7, 2020",Jeopardy! Round
Not An Armchair Expert,"(Dax Shepard delivers the clue.)  The pioneering polymer chemist Wallace Carothers developed not only nylon but neoprene, the first successful artificial rubber, while working for this Delaware company",DuPont,Ken Jennings,False,False,400,False,24,The Greatest of All Time game #2,"Tuesday, January 7, 2020",Jeopardy! Round
Triple Rhyme Time,A sedate date tree that's the subject of a Biblical poem,a calm psalm palm,Brad Rutter,False,False,400,False,20,The Greatest of All Time game #2,"Tuesday, January 7, 2020",Jeopardy! Round
Greatest Of All Time Travelers,"In this Audrey Niffenegger novel, Clare is married to Henry, who suffers from Chrono-Displacement Disorder",The Time Traveler\'s Wife,James Holzhauer,False,False,400,False,21,The Greatest of All Time game #2,"Tuesday, January 7, 2020",Jeopardy! Round
American Idols,"(Ryan Seacrest delivers the clue.)  The legendary Dick Clark was an idol of mine growing up; we both started out as D.J.s, me in Los Angeles & Dick in this city where he first hosted ""American Bandstand""",Philadelphia,James Holzhauer,False,False,600,False,17,The Greatest of All Time game #2,"Tuesday, January 7, 2020",Jeopardy! Round
Toy Story,This animated girl has a doctor's bag & your kids can have a toy version of it,Doc McStuffins,Brad Rutter,False,False,600,False,14,The Greatest of All Time game #2,"Tuesday, January 7, 2020",Jeopardy! Round
Geo-Verse,"""P"" is this forest, you'd go if you could; it's a national park full of agatized wood",Petrified Forest,James Holzhauer,False,False,600,False,18,The Greatest of All Time game #2,"Tuesday, January 7, 2020",Jeopardy! Round
Not An Armchair Expert,"(Dax Shepard delivers the clue.)  A.J.P. Taylor, who taught Michael Palin at Oxford, was a model for the famous historian who's suddenly killed by a knight on horseback in this comedy film",Monty Python and the Holy Grail,Ken Jennings,False,False,600,False,10,The Greatest of All Time game #2,"Tuesday, January 7, 2020",Jeopardy! Round
Triple Rhyme Time,A flexible & enormous customer,a pliant giant client,Ken Jennings,False,False,600,False,2,The Greatest of All Time game #2,"Tuesday, January 7, 2020",Jeopardy! Round
Greatest Of All Time Travelers,"In Chapter 16 of ""A Connecticut Yankee in King Arthur's Court"", Hank meets this woman whose first name is the same as his surname",Morgan le Fay,Ken Jennings,False,False,"2,400",True,5,The Greatest of All Time game #2,"Tuesday, January 7, 2020",Jeopardy! Round
American Idols,"(Luke Bryan delivers the clue.)  I've been inspired by this idol since I was 4 years old singing ""See See Rider"", the first song he performed on his ""Aloha from Hawaii"" TV special",Elvis,James Holzhauer,False,False,800,False,16,The Greatest of All Time game #2,"Tuesday, January 7, 2020",Jeopardy! Round
Toy Story,"An iconic red frame, a magic screen & 2 white knobs are integral to this classic toy",Etch A Sketch,Ken Jennings,False,False,800,False,13,The Greatest of All Time game #2,"Tuesday, January 7, 2020",Jeopardy! Round
Geo-Verse,"""A"" is this desert, dry & horrific; it was the prize in the War of the Pacific",the Atacama,Brad Rutter,False,False,800,False,11,The Greatest of All Time game #2,"Tuesday, January 7, 2020",Jeopardy! Round
Not An Armchair Expert,"(Dax Shepard delivers the clue.)  William Maples was an expert in forensic anthropology, working on the bodies of the Romanovs, the Elephant Man & this U.S. president whose mysterious death in 1850 turned out to be less from arsenic & more from too many cherries",(Zachary) Taylor,James Holzhauer,False,False,800,False,9,The Greatest of All Time game #2,"Tuesday, January 7, 2020",Jeopardy! Round
Triple Rhyme Time,A congenial game bird under glass as a gift,a pleasant pheasant present,Ken Jennings,False,False,800,False,1,The Greatest of All Time game #2,"Tuesday, January 7, 2020",Jeopardy! Round
Greatest Of All Time Travelers,"In this 1969 classic Tralfamadorians abduct the protagonist who has unfortunately become ""unstuck in time""",Slaughterhouse-Five,Brad Rutter,False,False,800,False,6,The Greatest of All Time game #2,"Tuesday, January 7, 2020",Jeopardy! Round
American Idols,"(Ryan Seacrest delivers the clue.)  I admired Frank Sinatra's spirit & style, especially how he broke with tradition to create his own label, called this, with records people would ""play & play again""",Reprise,Brad Rutter,False,False,1000,False,15,The Greatest of All Time game #2,"Tuesday, January 7, 2020",Jeopardy! Round
Toy Story,A technique to interlock wood pieces inspired John Lloyd Wright to create these in 1916,Lincoln Logs,James Holzhauer,False,False,1000,False,12,The Greatest of All Time game #2,"Tuesday, January 7, 2020",Jeopardy! Round
Geo-Verse,"""M"" is this river, to see it, go forth; it's Canada's longest, so, of course, it flows north",the Mackenzie,Ken Jennings,False,False,1000,False,4,The Greatest of All Time game #2,"Tuesday, January 7, 2020",Jeopardy! Round
Not An Armchair Expert,"(Dax Shepard delivers the clue.)  Around 1912 this man then working in Manchester, England was the leading expert on nuclear physics; in fact he was the only expert on it, since he'd discovered the atomic nucleus & established the nuclear model of the atom",(Ernest) Rutherford,James Holzhauer,False,False,1000,False,8,The Greatest of All Time game #2,"Tuesday, January 7, 2020",Jeopardy! Round
Triple Rhyme Time,"In Papeete & the rest of the isle, a signed agreement to quit spray-painting",a Tahiti graffiti treaty,James Holzhauer,False,False,1000,False,3,The Greatest of All Time game #2,"Tuesday, January 7, 2020",Jeopardy! Round
Greatest Of All Time Travelers,"""Kindred"", about an African-American woman transported back to a plantation in antebellum Maryland, is a novel by this author",(Octavia) Butler,James Holzhauer,False,False,1000,False,7,The Greatest of All Time game #2,"Tuesday, January 7, 2020",Jeopardy! Round
Architecture & Design,"Julia Morgan designed this 68,500-square-foot home in San Simeon, California in the Mediterranean Revival style",Hearst Castle,Brad Rutter,False,False,400,False,25,The Greatest of All Time game #2,"Tuesday, January 7, 2020",Double Jeopardy! Round
Let'S Jazz Up This Place,"Thelonious Monk really gets going ""'round"" this title hour",midnight,Brad Rutter,False,False,400,False,26,The Greatest of All Time game #2,"Tuesday, January 7, 2020",Double Jeopardy! Round
All In The Family: Government Edition,"He took over for his brother Fidel & became acting president of Cuba in 2006; he dropped the ""acting"" 2 years later",Raúl Castro,James Holzhauer,False,False,400,False,27,The Greatest of All Time game #2,"Tuesday, January 7, 2020",Double Jeopardy! Round
Foreign Words & Phrases,"In 2012 the French govt. ended official use of this word for an unmarried woman, deemed sexist since there's no male equivalent",mademoiselle,Brad Rutter,False,False,400,False,28,The Greatest of All Time game #2,"Tuesday, January 7, 2020",Double Jeopardy! Round
Philosophers,German philosopher Hegel saw history as progression toward this declaration of independence value,liberty,,True,False,400,False,29,The Greatest of All Time game #2,"Tuesday, January 7, 2020",Double Jeopardy! Round
Potpourri,"Arlington has the Tomb of the Unknown Soldier; the Brits have the Grave of the Unknown Warrior, found in this building's nave",Westminster Abbey,Ken Jennings,False,False,400,False,30,The Greatest of All Time game #2,"Tuesday, January 7, 2020",Double Jeopardy! Round
Architecture & Design,It's the iconic piece of furniture seen here,an Eames chair,Ken Jennings,False,False,800,False,19,The Greatest of All Time game #2,"Tuesday, January 7, 2020",Double Jeopardy! Round
Let'S Jazz Up This Place,"A song called this fruit ""Man"" became a classic for Herbie Hancock & a movie title for Melvin Van Peebles",Watermelon,Ken Jennings,False,False,800,False,20,The Greatest of All Time game #2,"Tuesday, January 7, 2020",Double Jeopardy! Round
All In The Family: Government Edition,"This family included a secretary of war under Grant, a president & a senator (from Ohio) nicknamed ""Mr. Republican""",Taft,Ken Jennings,False,False,800,False,21,The Greatest of All Time game #2,"Tuesday, January 7, 2020",Double Jeopardy! Round
Foreign Words & Phrases,"To sing ""Happy Birthday"", use this phrase ""a ti"" in Mexico, but reverse the phrase in Chile",feliz cumpleaños,Brad Rutter,False,False,800,False,22,The Greatest of All Time game #2,"Tuesday, January 7, 2020",Double Jeopardy! Round
Philosophers,"In the 18th C., Hume opined on morality, ""'tis impossible that the distinction betwixt"" these 2 4-letter words ""can be made by reason""",good & evil,James Holzhauer,False,False,800,False,23,The Greatest of All Time game #2,"Tuesday, January 7, 2020",Double Jeopardy! Round
Potpourri,"When she said she was leaving ""Star Trek"", MLK asked her to stay, saying, ""through you, we see ourselves and what can be""",Nichelle Nichols,Brad Rutter,False,False,800,False,24,The Greatest of All Time game #2,"Tuesday, January 7, 2020",Double Jeopardy! Round
Architecture & Design,"(Sarah of the Clue Crew delivers the clue from Residenzplats in Salzburg, Austria.)  Salzburg's Residenzplats has one of the largest Baroque fountains outside of Italy; the upper section is a replica of this Baroque master's Triton Fountain in Rome",Bernini,Brad Rutter,False,False,1200,False,18,The Greatest of All Time game #2,"Tuesday, January 7, 2020",Double Jeopardy! Round
Let'S Jazz Up This Place,"This man's quartet experiments with time: ""Take Five"" is in 5/4 meter & ""Blue Rondo A La Turk"" is in 9/8",Dave Brubeck,James Holzhauer,False,False,1200,False,17,The Greatest of All Time game #2,"Tuesday, January 7, 2020",Double Jeopardy! Round
All In The Family: Government Edition,"In 2016, Lech Kaczyński, president of this country, appointed his twin brother Jarosław prime minister",Poland,Brad Rutter,False,False,1200,False,4,The Greatest of All Time game #2,"Tuesday, January 7, 2020",Double Jeopardy! Round
Foreign Words & Phrases,"If God wills, you know this Arabic expression for ""if God wills""; T.E. Lawrence was an early adopter",inshallah,Brad Rutter,False,False,1200,False,15,The Greatest of All Time game #2,"Tuesday, January 7, 2020",Double Jeopardy! Round
Philosophers,"In 1934 A.J. Ayer set out to show ""the impossibility of"" this, a plural noun for the study of the nature of the universe",metaphysics,Brad Rutter,False,False,1200,False,16,The Greatest of All Time game #2,"Tuesday, January 7, 2020",Double Jeopardy! Round
Potpourri,In the 1920s several elderly men who had worked digging the Big Bend railroad tunnel remembered this hero as a real person,John Henry,Ken Jennings,False,False,1200,False,14,The Greatest of All Time game #2,"Tuesday, January 7, 2020",Double Jeopardy! Round
Architecture & Design,"Frank Gehry not only designed L.A.'s Walt Disney Concert Hall, but also this instrument at the rear of the stage",the organ,Ken Jennings,False,False,1600,False,3,The Greatest of All Time game #2,"Tuesday, January 7, 2020",Double Jeopardy! Round
Let'S Jazz Up This Place,"Born in New Orleans, Louis Armstrong performed songs named for these 2 local ""B"" streets",Bourbon & Basin,,False,False,"3,800",True,1,The Greatest of All Time game #2,"Tuesday, January 7, 2020",Double Jeopardy! Round
All In The Family: Government Edition,"Last name of John, who held a Michigan House seat from 1955 to 2015, & of his wife Debbie, who succeeded him",Dingell,Brad Rutter,False,False,1600,False,6,The Greatest of All Time game #2,"Tuesday, January 7, 2020",Double Jeopardy! Round
Foreign Words & Phrases,"This Latin phrase for an essential item is literally ""without which not""",sine qua non,Brad Rutter,False,False,1600,False,12,The Greatest of All Time game #2,"Tuesday, January 7, 2020",Double Jeopardy! Round
Philosophers,"He published 1843's ""Fear and Trembling"" under the pseudonym Johannes de Silentio",Kierkegaard,James Holzhauer,False,False,1600,False,5,The Greatest of All Time game #2,"Tuesday, January 7, 2020",Double Jeopardy! Round
Potpourri,The world's first of these began as a way for Cambridge U. computer scientists to know if the coffeepot in another room was full,a webcam,Ken Jennings,False,False,1600,False,11,The Greatest of All Time game #2,"Tuesday, January 7, 2020",Double Jeopardy! Round
Architecture & Design,This Boston-born architect designed the Massachusetts State House & from 1818 to 1829 served as architect of the U.S. Capitol,Bulfinch,James Holzhauer,False,False,2000,False,8,The Greatest of All Time game #2,"Tuesday, January 7, 2020",Double Jeopardy! Round
