Category,Clue,Correct Response,Answered Correctly,Triple Stumper,All Wrong Answers,Clue Value,Daily Double,Selection Order,Episode,Date First Aired,Round
Africa,"Most of the Asians in t his country live in Natal, where their ancestors worked on sugar plantations",South Africa,Eugene Finerman,False,False,800,False,22,Super Jeopardy! show #2,"Saturday, June 23, 1990",Jeopardy! Round
Literature,"In some versions of the story, he was unable to look at the Holy Grail after his adulterous affair",Lancelot,Frank Spangenberg,False,False,800,False,17,Super Jeopardy! show #2,"Saturday, June 23, 1990",Jeopardy! Round
Cooking,"This Penn. dish, made with scraps of pork mixed with corn meal, is shaped into loaves & then sliced & fried",scrapple,Brian Wangsgard,False,False,800,False,20,Super Jeopardy! show #2,"Saturday, June 23, 1990",Jeopardy! Round
Famous Horses,1 of 3 western movie horses to have his hoofprints in cement at Hollywood's Chinese Theatre,Trigger (or Champion or Tony),Brian Wangsgard,False,False,800,False,8,Super Jeopardy! show #2,"Saturday, June 23, 1990",Jeopardy! Round
9-Letter Words,"In ancient Greece, a politician who championed the masses; now it's one who plays on people's emotions",demagogue,Frank Spangenberg,False,False,1000,False,29,Super Jeopardy! show #2,"Saturday, June 23, 1990",Jeopardy! Round
Celebrities,"She said of “Laura”, “People remember me less for my acting job than as the girl in the portrait”",Gene Tierney,Eugene Finerman,False,False,1000,False,12,Super Jeopardy! show #2,"Saturday, June 23, 1990",Jeopardy! Round
Africa,Mozambique is a leading producer of this bean-shaped nut related to poison ivy,cashew,,False,False,1000,False,24,Super Jeopardy! show #2,"Saturday, June 23, 1990",Jeopardy! Round
Literature,The 3 sections that comprise Dante's “Divine Comedy”,"The Inferno, Il Purgatorio, Il Paradiso",Eugene Finerman,False,False,1000,False,23,Super Jeopardy! show #2,"Saturday, June 23, 1990",Jeopardy! Round
Cooking,In Mexican cooking this spicy sauce made with chilies & chocolate is often served over poultry,mole,Brian Wangsgard,False,False,1000,False,21,Super Jeopardy! show #2,"Saturday, June 23, 1990",Jeopardy! Round
Famous Horses,"Nicknamed “Big Red”, this racehorse's only career loss was to Upset in 1919",Man o\' War,Brian Wangsgard,False,False,1000,False,10,Super Jeopardy! show #2,"Saturday, June 23, 1990",Jeopardy! Round
French History,"From the 14th to the 17th century, France's flag had 3 of these “flowers” on a blue field",lillies or fleur-de-lis,Eugene Finerman,False,False,500,False,11,Super Jeopardy! show #2,"Saturday, June 23, 1990",Double Jeopardy! Round
U.S. States,"Most say its name is Papago Indian for “little spring”, others say it's Spanish for “arid zone”",Arizona,Eugene Finerman,False,False,500,False,20,Super Jeopardy! show #2,"Saturday, June 23, 1990",Double Jeopardy! Round
Mythological Women,"Slain by Achilles, Penthesilea was queen of these warrior women",Amazons,Kate Waits,False,False,500,False,3,Super Jeopardy! show #2,"Saturday, June 23, 1990",Double Jeopardy! Round
Composers,The full first name of this French composer born in 1862 was Achille-Claude,Debussy,Kate Waits,False,False,500,False,1,Super Jeopardy! show #2,"Saturday, June 23, 1990",Double Jeopardy! Round
The Queen'S English,"A telephone in use isn't busy, it's this",engaged,Kate Waits,False,False,500,False,21,Super Jeopardy! show #2,"Saturday, June 23, 1990",Double Jeopardy! Round
French History,"In the 1572 St. Bartholomew's Day Massacre, 3,000 of this religious group were killed in Paris alone",Hugenots,Kate Waits,False,False,1000,False,12,Super Jeopardy! show #2,"Saturday, June 23, 1990",Double Jeopardy! Round
U.S. States,"The bald cypress, which grows in the swamps & bayous, is this state's official tree",Louisiana,Kate Waits,False,False,1000,False,7,Super Jeopardy! show #2,"Saturday, June 23, 1990",Double Jeopardy! Round
Mythological Women,These terrible goddesses of punishment had eyes that wept tears of blood,Furies,Eugene Finerman,False,False,1000,False,13,Super Jeopardy! show #2,"Saturday, June 23, 1990",Double Jeopardy! Round
Composers,Beethoven studied some writing with this villain of “Amadeus”,Salieri (Antonio),Frank Spangenberg,False,False,1000,False,2,Super Jeopardy! show #2,"Saturday, June 23, 1990",Double Jeopardy! Round
The Queen'S English,"When an English mummy wants an English daddy to change baby's diaper, she asks him to change this",napkin (or nappy),Brian Wangsgard,False,False,1000,False,24,Super Jeopardy! show #2,"Saturday, June 23, 1990",Double Jeopardy! Round
French History,"Hired by France, this Italian explorer of New York harbor gave France its claim to the new world",Verrazano,Kate Waits,False,False,1500,False,14,Super Jeopardy! show #2,"Saturday, June 23, 1990",Double Jeopardy! Round
U.S. States,"While Washington has no official state fish, these 2 states have chosen a salmon",Oregon and Alaska,Kate Waits,False,False,1500,False,4,Super Jeopardy! show #2,"Saturday, June 23, 1990",Double Jeopardy! Round
Mythological Women,"Phaedra who fell in love with her stepson Hippolytus, was the daughter of this king of Crete",Minos,Frank Spangenberg,False,False,1500,False,17,Super Jeopardy! show #2,"Saturday, June 23, 1990",Double Jeopardy! Round
Composers,In English the full title of this composer's work is “St. John's Night on the Bare Mountain”,Mussorgsky,Kate Waits,False,False,1500,False,8,Super Jeopardy! show #2,"Saturday, June 23, 1990",Double Jeopardy! Round
The Queen'S English,A leg break bowler may deliver a flipper in this sport,cricket,Kate Waits,False,False,1500,False,25,Super Jeopardy! show #2,"Saturday, June 23, 1990",Double Jeopardy! Round
The Universe,"The closest of its 22 known moons is about 85,000 miles away from it; the farthest, 8 mil. miles away",Saturn,Eugene Finerman,False,False,2000,False,23,Super Jeopardy! show #2,"Saturday, June 23, 1990",Double Jeopardy! Round
French History,"Sports venue where, in 1789, Third Estate deputies pledged not to disband until France had a constitution",tennis court,Frank Spangenberg,False,False,2000,False,15,Super Jeopardy! show #2,"Saturday, June 23, 1990",Double Jeopardy! Round
U.S. States,"Mount Adams, Mount Jefferson & Mount Madison are in this New England state",New Hampshire,,False,False,"4,000",True,5,Super Jeopardy! show #2,"Saturday, June 23, 1990",Double Jeopardy! Round
Mythological Women,This 6-headed sea monster that ate sailors lived in a cave opposite the whirlpool Charybdis,Scylla,Frank Spangenberg,False,False,2000,False,18,Super Jeopardy! show #2,"Saturday, June 23, 1990",Double Jeopardy! Round
Composers,Completes the title of the Glinka opera “A Life for the ...”,Czar,Eugene Finerman,False,False,2000,False,9,Super Jeopardy! show #2,"Saturday, June 23, 1990",Double Jeopardy! Round
The Queen'S English,"A doctor's office, whether or not operations are performed there",surgery,Frank Spangenberg,False,False,2000,False,26,Super Jeopardy! show #2,"Saturday, June 23, 1990",Double Jeopardy! Round
French History,His 1831-32 visit to the U.S. also produced a book about the American penitentiary system,de Tocqueville,Frank Spangenberg,False,False,2500,False,16,Super Jeopardy! show #2,"Saturday, June 23, 1990",Double Jeopardy! Round
U.S. States,“The Peace Garden State”,North Dakota,Brian Wangsgard,False,False,2500,False,6,Super Jeopardy! show #2,"Saturday, June 23, 1990",Double Jeopardy! Round
Mythological Women,"Zeus arranged for her to spend part of the year with her mother, Demeter, the rest with her husband, Hades",Persephone,Frank Spangenberg,False,False,2500,False,19,Super Jeopardy! show #2,"Saturday, June 23, 1990",Double Jeopardy! Round
Composers,Series of waltzes by Liszt whose name refers to a character in “Faust”,Mephisto,Eugene Finerman,False,False,"4,500",True,10,Super Jeopardy! show #2,"Saturday, June 23, 1990",Double Jeopardy! Round
The Queen'S English,"If you bridged the Atlantic & wanted to borrow a wrench, ask for one of these",spanner,Brian Wangsgard,False,False,2500,False,22,Super Jeopardy! show #2,"Saturday, June 23, 1990",Double Jeopardy! Round
Film Facts,"Richard Pryor co-wrote this Western with Mel Brooks; its original title was ""Black Bart""",Blazing Saddles,Eric Newhouse,False,False,200,False,1,Super Jeopardy! show #3,"Saturday, June 30, 1990",Jeopardy! Round
Biology,Class of animals so named because they have an aquatic larval stage & terrestrial adult lives,amphibians,Eric Newhouse,False,False,200,False,17,Super Jeopardy! show #3,"Saturday, June 30, 1990",Jeopardy! Round
Organizations,"Originally, this amateur boxing organization was sponsored by the Chicago Tribune Charities",Golden Gloves,Richard Perez-Peña,False,False,200,False,24,Super Jeopardy! show #3,"Saturday, June 30, 1990",Jeopardy! Round
Lakes,"Fur trappers called this Great Lake the ""Upper Lake"" in French",Lake Superior,Gary Giardina,False,False,200,False,30,Super Jeopardy! show #3,"Saturday, June 30, 1990",Jeopardy! Round
Famous Politicians,"In his bid for an unprecedented 4th term, this NYC mayor was defeated in the 1989 Democratic Party",Ed Koch,Eric Newhouse,False,False,200,False,29,Super Jeopardy! show #3,"Saturday, June 30, 1990",Jeopardy! Round
"""H""Istory",This Communist revolutionary founded the Democratic Republic of Vietnam in 1945,Hồ Chí Minh,Richard Perez-Peña,False,False,200,False,15,Super Jeopardy! show #3,"Saturday, June 30, 1990",Jeopardy! Round
Film Facts,"Kevin Costner starred in this 1989 film based on the novel ""Shoeless Joe""",Field of Dreams,Richard Perez-Peña,False,False,400,False,8,Super Jeopardy! show #3,"Saturday, June 30, 1990",Jeopardy! Round
Biology,The development of this part of the egg contributed to the evolution of life on land,the shell,Richard Perez-Peña,False,False,400,False,19,Super Jeopardy! show #3,"Saturday, June 30, 1990",Jeopardy! Round
Organizations,"""Show a kid how America works"" is the slogan of this young people's business organization",Junior Achievement,Elise Beraru,False,False,400,False,23,Super Jeopardy! show #3,"Saturday, June 30, 1990",Jeopardy! Round
Lakes,"Located in South America, it's the world's highest large navigable lake",Lake Titicaca,Richard Perez-Peña,False,False,400,False,27,Super Jeopardy! show #3,"Saturday, June 30, 1990",Jeopardy! Round
Famous Politicians,"Ironically, the Arizona Democratic Party Organization was founded by his father & uncle",Barry Goldwater,Eric Newhouse,False,False,400,False,26,Super Jeopardy! show #3,"Saturday, June 30, 1990",Jeopardy! Round
"""H""Istory",Janos Kadar assumed power in this country after a revolt was suppressed by Soviet tanks,Hungary,Elise Beraru,False,False,400,False,14,Super Jeopardy! show #3,"Saturday, June 30, 1990",Jeopardy! Round
Film Facts,"""Tonight Show"" exec. producer who directed ""Bedtime for Bonzo"" & ""Bonzo Goes to College""",(Freddy) de Cordova,Elise Beraru,False,False,600,False,7,Super Jeopardy! show #3,"Saturday, June 30, 1990",Jeopardy! Round
Biology,"In the lab, you put something in an autoclave to do this to it",sterilize it,Gary Giardina,False,False,600,False,20,Super Jeopardy! show #3,"Saturday, June 30, 1990",Jeopardy! Round
Organizations,Members of SPEBSQSA usually sing in a group of this many people,4,Elise Beraru,False,False,600,False,22,Super Jeopardy! show #3,"Saturday, June 30, 1990",Jeopardy! Round
Lakes,The construction of this created Lake Nasser,the Aswan Dam,Eric Newhouse,False,False,600,False,25,Super Jeopardy! show #3,"Saturday, June 30, 1990",Jeopardy! Round
Famous Politicians,"Tho this senate minority leader won the 1988 GOP Iowa caucauses, he lost the presidential nomination",Bob Dole,Gary Giardina,False,False,600,False,16,Super Jeopardy! show #3,"Saturday, June 30, 1990",Jeopardy! Round
"""H""Istory","Although this British general opposed coercion in North America, he led troops at the Battle of Bunker Hill",(William) Howe,Elise Beraru,False,False,600,False,6,Super Jeopardy! show #3,"Saturday, June 30, 1990",Jeopardy! Round
Film Facts,The first film Jimmy Stewart made after serving as a WWII bomber pilot was this holiday classic,It\'s a Wonderful Life,Richard Perez-Peña,False,False,800,False,3,Super Jeopardy! show #3,"Saturday, June 30, 1990",Jeopardy! Round
Biology,In humans it separates the thoracic cavity from the abdominal cavity,the diaphragm,Elise Beraru,False,False,800,False,21,Super Jeopardy! show #3,"Saturday, June 30, 1990",Jeopardy! Round
Organizations,Candy manufacturer Robert Welch founded this organization in 1958,the John Birch Society,Elise Beraru,False,False,800,False,13,Super Jeopardy! show #3,"Saturday, June 30, 1990",Jeopardy! Round
Lakes,"A castle on this French-Swiss lake was made famous by the poem ""The Prisoner of Chillon""",Lake Geneva,Richard Perez-Peña,False,False,800,False,18,Super Jeopardy! show #3,"Saturday, June 30, 1990",Jeopardy! Round
Famous Politicians,This Minnesota congressman wrote the 1919 act that enforced prohibition,Volstead,Eric Newhouse,False,False,800,False,12,Super Jeopardy! show #3,"Saturday, June 30, 1990",Jeopardy! Round
"""H""Istory",In 29 A.D. lava from Mt. Vesuvius buried this city named for its mythical founder,Herculaneum,Richard Perez-Peña,False,False,800,False,5,Super Jeopardy! show #3,"Saturday, June 30, 1990",Jeopardy! Round
Film Facts,Elizabeth Taylor found passion on a plantation before it was pulverized by pachyderms in this 1954 film,Elephant Walk,Elise Beraru,False,False,1000,False,2,Super Jeopardy! show #3,"Saturday, June 30, 1990",Jeopardy! Round
Biology,The Savi's pygmy variety of this animal is said to be the world's smallest mammal,the shrew,Richard Perez-Peña,False,False,1000,False,28,Super Jeopardy! show #3,"Saturday, June 30, 1990",Jeopardy! Round
Organizations,This farmers organization is officially called the Order of Patrons of Husbandry,the Grange,Eric Newhouse,False,False,1000,False,9,Super Jeopardy! show #3,"Saturday, June 30, 1990",Jeopardy! Round
